Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001380, Random time: 0.000139, Bucket time: 0.000372, Sort time: 0.000471, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001377, Random time: 0.000140, Bucket time: 0.000335, Sort time: 0.000470, Merge time: 0.000096
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001371, Random time: 0.000139, Bucket time: 0.000340, Sort time: 0.000483, Merge time: 0.000084
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001379, Random time: 0.000139, Bucket time: 0.000340, Sort time: 0.000486, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001378, Random time: 0.000139, Bucket time: 0.000339, Sort time: 0.000489, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001348, Random time: 0.000139, Bucket time: 0.000344, Sort time: 0.000467, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001389, Random time: 0.000158, Bucket time: 0.000333, Sort time: 0.000498, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001446, Random time: 0.000146, Bucket time: 0.000344, Sort time: 0.000497, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001422, Random time: 0.000139, Bucket time: 0.000341, Sort time: 0.000484, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001408, Random time: 0.000140, Bucket time: 0.000340, Sort time: 0.000498, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001389, Random time: 0.000140, Bucket time: 0.000344, Sort time: 0.000479, Merge time: 0.000085
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001360, Random time: 0.000139, Bucket time: 0.000339, Sort time: 0.000486, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001376, Random time: 0.000139, Bucket time: 0.000357, Sort time: 0.000487, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001387, Random time: 0.000154, Bucket time: 0.000334, Sort time: 0.000496, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001405, Random time: 0.000140, Bucket time: 0.000342, Sort time: 0.000511, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001396, Random time: 0.000139, Bucket time: 0.000340, Sort time: 0.000477, Merge time: 0.000098
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001399, Random time: 0.000138, Bucket time: 0.000355, Sort time: 0.000495, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001359, Random time: 0.000139, Bucket time: 0.000356, Sort time: 0.000467, Merge time: 0.000084
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001352, Random time: 0.000138, Bucket time: 0.000345, Sort time: 0.000476, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001360, Random time: 0.000139, Bucket time: 0.000340, Sort time: 0.000480, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001384, Random time: 0.000138, Bucket time: 0.000342, Sort time: 0.000481, Merge time: 0.000095
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001354, Random time: 0.000139, Bucket time: 0.000355, Sort time: 0.000464, Merge time: 0.000084
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001370, Random time: 0.000153, Bucket time: 0.000340, Sort time: 0.000482, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001356, Random time: 0.000140, Bucket time: 0.000348, Sort time: 0.000472, Merge time: 0.000082
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001367, Random time: 0.000139, Bucket time: 0.000342, Sort time: 0.000474, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001382, Random time: 0.000138, Bucket time: 0.000367, Sort time: 0.000469, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001353, Random time: 0.000139, Bucket time: 0.000351, Sort time: 0.000468, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001371, Random time: 0.000139, Bucket time: 0.000342, Sort time: 0.000480, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001367, Random time: 0.000139, Bucket time: 0.000341, Sort time: 0.000491, Merge time: 0.000084
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001377, Random time: 0.000139, Bucket time: 0.000342, Sort time: 0.000467, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001386, Random time: 0.000154, Bucket time: 0.000343, Sort time: 0.000481, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001373, Random time: 0.000140, Bucket time: 0.000355, Sort time: 0.000480, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001412, Random time: 0.000153, Bucket time: 0.000352, Sort time: 0.000511, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001394, Random time: 0.000139, Bucket time: 0.000342, Sort time: 0.000468, Merge time: 0.000112
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001378, Random time: 0.000138, Bucket time: 0.000357, Sort time: 0.000481, Merge time: 0.000082
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001373, Random time: 0.000154, Bucket time: 0.000341, Sort time: 0.000478, Merge time: 0.000082
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001392, Random time: 0.000140, Bucket time: 0.000341, Sort time: 0.000464, Merge time: 0.000112
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001390, Random time: 0.000140, Bucket time: 0.000346, Sort time: 0.000469, Merge time: 0.000102
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001360, Random time: 0.000139, Bucket time: 0.000327, Sort time: 0.000484, Merge time: 0.000082
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001362, Random time: 0.000139, Bucket time: 0.000355, Sort time: 0.000470, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001377, Random time: 0.000159, Bucket time: 0.000343, Sort time: 0.000478, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001399, Random time: 0.000139, Bucket time: 0.000340, Sort time: 0.000490, Merge time: 0.000104
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001363, Random time: 0.000139, Bucket time: 0.000359, Sort time: 0.000469, Merge time: 0.000082
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001374, Random time: 0.000160, Bucket time: 0.000342, Sort time: 0.000467, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001384, Random time: 0.000139, Bucket time: 0.000345, Sort time: 0.000504, Merge time: 0.000084
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001390, Random time: 0.000139, Bucket time: 0.000342, Sort time: 0.000492, Merge time: 0.000092
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001354, Random time: 0.000139, Bucket time: 0.000341, Sort time: 0.000477, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001367, Random time: 0.000138, Bucket time: 0.000342, Sort time: 0.000466, Merge time: 0.000095
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001436, Random time: 0.000167, Bucket time: 0.000344, Sort time: 0.000483, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001358, Random time: 0.000139, Bucket time: 0.000329, Sort time: 0.000480, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001367, Random time: 0.000140, Bucket time: 0.000341, Sort time: 0.000483, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001331, Random time: 0.000138, Bucket time: 0.000343, Sort time: 0.000461, Merge time: 0.000082
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001388, Random time: 0.000150, Bucket time: 0.000336, Sort time: 0.000497, Merge time: 0.000082
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001363, Random time: 0.000139, Bucket time: 0.000357, Sort time: 0.000470, Merge time: 0.000082
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001370, Random time: 0.000139, Bucket time: 0.000335, Sort time: 0.000483, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001365, Random time: 0.000139, Bucket time: 0.000339, Sort time: 0.000498, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001388, Random time: 0.000139, Bucket time: 0.000347, Sort time: 0.000487, Merge time: 0.000082
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001384, Random time: 0.000139, Bucket time: 0.000342, Sort time: 0.000493, Merge time: 0.000082
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001368, Random time: 0.000139, Bucket time: 0.000367, Sort time: 0.000469, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001372, Random time: 0.000139, Bucket time: 0.000345, Sort time: 0.000463, Merge time: 0.000095
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001365, Random time: 0.000139, Bucket time: 0.000338, Sort time: 0.000486, Merge time: 0.000082
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001383, Random time: 0.000140, Bucket time: 0.000341, Sort time: 0.000470, Merge time: 0.000096
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001349, Random time: 0.000139, Bucket time: 0.000334, Sort time: 0.000485, Merge time: 0.000082
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001377, Random time: 0.000139, Bucket time: 0.000341, Sort time: 0.000483, Merge time: 0.000083
Array size: 10000, Buckets: 1250, Threads: 1, Total time: 0.001384, Random time: 0.000140, Bucket time: 0.000359, Sort time: 0.000463, Merge time: 0.000083
